### Q28575, county : _wdadd_ 
Q28575,county
Q7695,march
Q586186,Marca de Bretaña
Q47168,county of the United States
Q3301053,consolidated city-county
Q13218382,charter city and county
Q11774062,county of Arkansas
Q11774097,county of Texas
Q11774149,county of Iowa
Q11812346,county of Illinois
Q12037308,county of South Dakota
Q12178655,county of North Dakota
Q12178928,county of Wisconsin
Q44555359,WOW counties
Q12262532,county of Minnesota
Q13212489,county of California
Q13218382,charter city and county
Q13217186,county of Arizona
Q13410400,county of Alabama
Q13410403,county of Colorado
Q13410411,county of Delaware
Q13410422,county of Florida
Q13410428,county of Georgia
Q13410431,county of Hawaii
Q13410433,county of Idaho
Q13410438,county of Indiana
Q13410444,county of Kansas
Q13410447,county of Kentucky
Q13410454,county of Maine
Q13410464,county of Maryland
Q13410485,county of Massachusetts
Q13410496,county of Michigan
Q13410508,county of Mississippi
Q13410520,county of Missouri
Q13414354,county of Connecticut
Q13414358,county of Montana
Q13414361,county of Nebraska
Q13414369,county of Nevada
Q13414753,county of New Hampshire
Q13414754,county of New Jersey
Q13414755,county of New Mexico
Q13414757,county of New York
Q13414758,county of North Carolina
Q13414759,county of Ohio
Q13414760,county of Oklahoma
Q13414761,county of Oregon
Q13414763,county of Pennsylvania
Q13414764,county of Rhode Island
Q13414765,county of South Carolina
Q13415365,county of Utah
Q13415366,county of Tennessee
Q13415367,county of Vermont
Q13415368,county of Virginia
Q13415369,county of Washington
Q13415370,county of West Virginia
Q13415371,county of Wyoming
Q57053,county of Croatia
Q137535,county of Iran
Q101057139,county of Razavi Khorasan
Q171809,county of England
Q180673,ceremonial county of England
Q643815,metropolitan or non-metropolitan county of England
Q769603,non-metropolitan county
Q1136601,unitary authority of England
Q769628,metropolitan county
Q1138494,historic county of England
Q21272231,county council area
Q630638,preserved county of Wales
Q1317848,county of Northern Ireland
Q2991484,county of Canada
Q603715,county of New Brunswick
Q2991491,historic county of Quebec
Q3248567,county of Prince Edward Island
Q11774771,county of Nova Scotia
Q14763041,county of Ontario
Q2991489,county palatine
Q5177120,county of Tasmania
Q7234043,Postal counties of the United Kingdom
Q15979307,principal area of Wales
Q16822724,county of New Zealand
Q18224884,Condado del Sacro Romano Imperio
Q18603529,condado (Portugal)
Q18652293,Baoli
Q18658990,街庄社鄉
Q20974973,county of Australia
Q5177126,county of Victoria
Q15643559,county of Western Australia
Q15643578,county of New South Wales
Q17000640,Nineteen Counties
Q15643599,county of Queensland
Q15643615,county of South Australia
Q15643694,county of the Northern Territory
Q28739697,ancient county of China
Q55030674,county of American Samoa
Q58001476,condado (Spain)
Q67770276,historic county
Q2991491,historic county of Quebec
Q67376938,historic county of the United Kingdom
Q1138494,historic county of England
Q1317848,county of Northern Ireland
Q1350181,shire of Scotland
Q7309443,registration county
Q104631008,Scottish landward district
Q98558416,historic county of Wales
Q85625936,county of Jamaica
Q85625936,county of Jamaica
Q85637361,local government county in Ireland
### Q13360155, county or county-equivalent : _wdadd_ 
Q13360155,county or county-equivalent
Q47168,county of the United States
Q3301053,consolidated city-county
Q13218382,charter city and county
Q11774062,county of Arkansas
Q11774097,county of Texas
Q11774149,county of Iowa
Q11812346,county of Illinois
Q12037308,county of South Dakota
Q12178655,county of North Dakota
Q12178928,county of Wisconsin
Q44555359,WOW counties
Q12262532,county of Minnesota
Q13212489,county of California
Q13218382,charter city and county
Q13217186,county of Arizona
Q13410400,county of Alabama
Q13410403,county of Colorado
Q13410411,county of Delaware
Q13410422,county of Florida
Q13410428,county of Georgia
Q13410431,county of Hawaii
Q13410433,county of Idaho
Q13410438,county of Indiana
Q13410444,county of Kansas
Q13410447,county of Kentucky
Q13410454,county of Maine
Q13410464,county of Maryland
Q13410485,county of Massachusetts
Q13410496,county of Michigan
Q13410508,county of Mississippi
Q13410520,county of Missouri
Q13414354,county of Connecticut
Q13414358,county of Montana
Q13414361,county of Nebraska
Q13414369,county of Nevada
Q13414753,county of New Hampshire
Q13414754,county of New Jersey
Q13414755,county of New Mexico
Q13414757,county of New York
Q13414758,county of North Carolina
Q13414759,county of Ohio
Q13414760,county of Oklahoma
Q13414761,county of Oregon
Q13414763,county of Pennsylvania
Q13414764,county of Rhode Island
Q13414765,county of South Carolina
Q13415365,county of Utah
Q13415366,county of Tennessee
Q13415367,county of Vermont
Q13415368,county of Virginia
Q13415369,county of Washington
Q13415370,county of West Virginia
Q13415371,county of Wyoming
Q1188782,county-equivalent
Q263639,municipality of Puerto Rico
Q1266818,independent city
Q13410522,borough of Alaska
Q13410524,parish of Louisiana
Q56064719,census area of Alaska
### Q3301053, consolidated city-county : _wdadd_ 
Q3301053,consolidated city-county
Q13218382,charter city and county
### Q713146, county-controlled city : _wdadd_ 
Q713146,County-administered city
### Q17143371, county of South Korea : _wdadd_ 
Q17143371,county of South Korea
### Q149621, county of North Korea : _wdadd_ 
Q149621,district
Q11353,district of Iran
Q50256,district of Hong Kong
Q59136,district of Cyprus
Q193560,district of Israel
Q216888,district of Luxembourg
Q319796,district of Nauru
Q398141,school district
Q1669809,Schulsprengel
Q2986739,school board of Quebec
Q4664382,Abbott district
Q7048928,Non-high school district
